spot_id,stake_label,pot_type,spot_name,opportunities,bet_pct,check_pct,fold_pct,call_pct,raise_pct,no_response_pct,avg_size_pct,avg_facing_size_pct,raw_action_counts,benchmark_flag,leak_note,benchmark_metric,benchmark_low,benchmark_high,deviation_pp,confidence,exploit_score
FOLD_TO_FLOP_CBET,PL100,4bet+,Fold/call/raise vs flop c-bet,27,0.0,0.0,51.9,37.0,11.1,0.0,45.5,56.5,"{""fold"": 14, ""call"": 10, ""raise_or_allin"": 3}",audit_required,definition audit unresolved: analyzer results do not match the comparison CoinPoker HUD range; do not infer strategy until denominator equivalence is established,fold_pct,25.0,45.0,0.0,IGNORE,0.0
FOLD_TO_FLOP_CBET,PL100,srp,Fold/call/raise vs flop c-bet,446,0.0,0.0,40.6,51.1,8.3,0.0,50.2,60.6,"{""call"": 228, ""fold"": 181, ""raise_or_allin"": 37}",audit_required,definition audit unresolved: analyzer results do not match the comparison CoinPoker HUD range; do not infer strategy until denominator equivalence is established,fold_pct,25.0,45.0,0.0,HIGH,0.0
FOLD_TO_FLOP_CBET,PL25,3bet,Fold/call/raise vs flop c-bet,343,0.0,0.0,55.4,28.6,16.0,0.0,72.3,65.1,"{""call"": 98, ""fold"": 190, ""raise_or_allin"": 55}",audit_required,definition audit unresolved: analyzer results do not match the comparison CoinPoker HUD range; do not infer strategy until denominator equivalence is established,fold_pct,25.0,45.0,0.0,HIGH,0.0
FOLD_TO_FLOP_CBET,PL25,4bet+,Fold/call/raise vs flop c-bet,50,0.0,0.0,44.0,42.0,14.0,0.0,47.0,66.2,"{""fold"": 22, ""call"": 21, ""raise_or_allin"": 7}",audit_required,definition audit unresolved: analyzer results do not match the comparison CoinPoker HUD range; do not infer strategy until denominator equivalence is established,fold_pct,25.0,45.0,0.0,LOW,0.0
FOLD_TO_FLOP_CBET,PL25,srp,Fold/call/raise vs flop c-bet,1047,0.0,0.0,45.4,47.1,7.5,0.0,51.9,62.0,"{""call"": 493, ""fold"": 475, ""raise_or_allin"": 79}",audit_required,definition audit unresolved: analyzer results do not match the comparison CoinPoker HUD range; do not infer strategy until denominator equivalence is established,fold_pct,25.0,45.0,0.0,HIGH,0.0
FOLD_TO_FLOP_CBET,PL50,3bet,Fold/call/raise vs flop c-bet,837,0.0,0.0,43.2,36.8,20.0,0.0,67.3,64.1,"{""fold"": 362, ""call"": 308, ""raise_or_allin"": 167}",audit_required,definition audit unresolved: analyzer results do not match the comparison CoinPoker HUD range; do not infer strategy until denominator equivalence is established,fold_pct,25.0,45.0,0.0,HIGH,0.0
FOLD_TO_FLOP_CBET,PL50,4bet+,Fold/call/raise vs flop c-bet,127,0.0,0.0,40.2,45.7,14.2,0.0,50.5,74.3,"{""raise_or_allin"": 18, ""call"": 58, ""fold"": 51}",audit_required,definition audit unresolved: analyzer results do not match the comparison CoinPoker HUD range; do not infer strategy until denominator equivalence is established,fold_pct,25.0,45.0,0.0,MEDIUM,0.0
FOLD_TO_FLOP_CBET,PL50,srp,Fold/call/raise vs flop c-bet,2102,0.0,0.0,44.6,45.6,9.8,0.0,53.9,60.7,"{""call"": 958, ""fold"": 937, ""raise_or_allin"": 207}",audit_required,definition audit unresolved: analyzer results do not match the comparison CoinPoker HUD range; do not infer strategy until denominator equivalence is established,fold_pct,25.0,45.0,0.0,HIGH,0.0
FOLD_TO_FLOP_CHECK_RAISE,PL100,3bet,Fold/call/3bet vs flop check-raise,14,0.0,0.0,14.3,57.1,28.6,0.0,41.8,138.4,"{""call"": 8, ""fold"": 2, ""raise_or_allin"": 4}",low_sample,sample below min-sample,fold_pct,30.0,55.0,-15.7,IGNORE,1.57
FOLD_TO_FLOP_CHECK_RAISE,PL100,4bet+,Fold/call/3bet vs flop check-raise,3,0.0,0.0,0.0,100.0,0.0,0.0,4.3,84.6,"{""call"": 3}",low_sample,sample below min-sample,fold_pct,30.0,55.0,-30.0,IGNORE,3.0
